horizon,feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,n_obs,pearson_all,spearman_all,spearman_train,spearman_valid,spearman_test,split_ic_std,abs_spearman_all
60d,kma_asos_weather_daily__avg_relative_humidity_pct,KMA 전국 ASOS 기상 평균 상대습도(%),weather_kma,기상/KMA,raw.kma_asos_weather_daily,2074,0.17479464082663068,0.2390387117436441,0.3264826680508742,0.17466545339061915,0.05129415316175066,0.11254513322526853,0.2390387117436441
60d,kma_asos_weather_station_daily__avg_relative_humidity_pct,KMA 관측소 ASOS 기상 평균 상대습도(%),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,2074,0.17479464082663068,0.23903611516464965,0.3264809510533471,0.17466555093552752,0.05129308004525003,0.1125448289134774,0.23903611516464965
60d,epsis_power_trade_volume_monthly__trade_volume_wind_gwh,EPSIS 전력거래량 전력거래량(풍력),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.16675724024657304,-0.2320990389912646,-0.3490618820572131,-0.08581535412184838,-0.06446865827584022,0.12942081187430635,0.2320990389912646
60d,mkt_n_vintages,거래 빈티지 수,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,0.1943114947538279,0.22693163385912912,0.16042959425401473,0.34968116560588264,0.20545105490149218,0.08072271744942976,0.22693163385912912
60d,mkt_is_blended,복수 빈티지 거래일 여부,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,0.19440984894628824,0.22684306885807604,0.1600904568063565,0.34968116560588264,0.20545105490149218,0.08083216188598301,0.22684306885807604
60d,mkt_vwap_range,빈티지 간 VWAP 범위,market_internal,시장 내부,data.processed.targets.market_vwap_targets,2074,0.18551575697363618,0.2259639816252708,0.15993005325224077,0.35167573574949157,0.20445671343567223,0.08193660879977353,0.2259639816252708
60d,krx_auction_monthly__acc_trdcnt,KRX 배출권 경매 거래건수,auction,KRX 경매,raw.krx_auction_monthly,1673,-0.22795725577765924,-0.2105862730085456,-0.23564684422590357,-0.06024075612926219,-0.39520562955973737,0.1367998408668947,0.2105862730085456
60d,epsis_fuel_cost_monthly__heat_price_lng_krw_per_gcal,EPSIS 발전연료비 열량단가(LNG),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.19542881996112765,-0.20839673166049935,0.060808903655671924,0.07966453180842502,-0.5960071192794044,0.3141646777622347,0.20839673166049935
60d,epsis_fuel_cost_monthly__fuel_cost_lng_krw_per_kwh,EPSIS 발전연료비 발전연료비(LNG),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,2074,-0.19543989100763565,-0.2061345447335558,0.06887647080135262,0.0794845500700256,-0.5670364238617739,0.3023035837399825,0.2061345447335558
60d,krx_auction_monthly__lwst_ord_prc,KRX 배출권 경매 최저 주문가격,auction,KRX 경매,raw.krx_auction_monthly,1673,-0.2720544830425979,-0.20544372749414305,-0.31345697438760467,-0.34212095408859805,-0.18419528224292203,0.0686947568889713,0.20544372749414305
60d,epsis_power_trade_volume_monthly__trade_volume_nuclear_gwh,EPSIS 전력거래량 전력거래량(원자력),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,2074,-0.1745028145311492,-0.202789175616746,-0.13865752139354398,-0.20615381913013767,-0.4775756593077438,0.14647376319508687,0.202789175616746
60d,epsis_power_supply_daily__peak_demand_mw,EPSIS 전력수급 최대수요(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,2074,0.19323001601937936,0.2016117354937013,0.14239622529416987,0.2510653897170889,0.37859188283313006,0.09652885716090458,0.2016117354937013
60d,krx_auction_monthly__hgst_ord_prc,KRX 배출권 경매 최고 주문가격,auction,KRX 경매,raw.krx_auction_monthly,1673,-0.24352805103113012,-0.19513872631905255,-0.2180601614339452,-0.3006387905769772,-0.13748966405233828,0.06660703376705844,0.19513872631905255
60d,krx_auction_monthly__clsprc,KRX 배출권 경매 종가,auction,KRX 경매,raw.krx_auction_monthly,1673,-0.2526898494279107,-0.1890460549469741,-0.27625768203722667,-0.3660920803415749,-0.14202306409327436,0.09207248099896582,0.1890460549469741
60d,epsis_smp_monthly__smp_total_krw_per_kwh,EPSIS SMP 전국 SMP(원/kWh),power_epsis,전력/EPSIS,raw.epsis_smp_monthly,2074,-0.19756271446890375,-0.1874591688187568,0.13887692782630498,0.005499192457380519,-0.2185192483423465,0.14746220188029255,0.1874591688187568
60d,commodities_monthly__lng_japan,원자재 월별 가격 일본 LNG 가격,external_market,외부시장,raw.commodities_monthly,2074,-0.23191916988911837,-0.185436725895678,0.19031705973089116,-0.10801170665050311,-0.3966562185193911,0.23964170858980205,0.185436725895678
