feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_30d,missing_60d,missing_train,missing_valid,missing_test,abs_ic_30d,abs_ic_60d,max_abs_ic
epsis_power_trade_volume_monthly__trade_volume_other_gwh,EPSIS 전력거래량 전력거래량(기타),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.08129580748163666,0.12753051830165346,0.12753051830165346
epsis_fuel_cost_monthly__fuel_price_bituminous_coal_krw_per_ton,EPSIS 발전연료비 연료가격(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.1257003624867808,0.11604375564868936,0.1257003624867808
kma_asos_weather_daily__is_precip_day,KMA 전국 ASOS 기상 강수일 여부,weather_kma,기상/KMA,raw.kma_asos_weather_daily,0.0,0.0,0.0,0.0,0.0,0.0604895998304565,0.12422913260875278,0.12422913260875278
kma_asos_weather_station_daily__is_precip_day,KMA 관측소 ASOS 기상 강수일 여부,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0604895998304565,0.12422913260875278,0.12422913260875278
epsis_fuel_cost_monthly__heat_price_bituminous_coal_krw_per_gcal,EPSIS 발전연료비 열량단가(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.121284415414263,0.11131140375494272,0.121284415414263
epsis_fuel_cost_monthly__fuel_cost_bituminous_coal_krw_per_kwh,EPSIS 발전연료비 발전연료비(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.12056444715775126,0.11117414866549155,0.12056444715775126
mkt_volume_lag_20d,시장 거래량 로그값 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.04640952989957972,0.11687630561578091,0.11687630561578091
commodities_monthly__coal_newcastle,원자재 월별 가격 뉴캐슬 석탄 가격,external_market,외부시장,raw.commodities_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.09363575126166687,0.11519805962399872,0.11519805962399872
epsis_power_trade_volume_monthly__trade_volume_renewable_total_gwh,EPSIS 전력거래량 전력거래량(재생에너지 합계),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.04930398703178107,0.10474351504429831,0.10474351504429831
mkt_logret_mean_20d,시장 VWAP 로그수익률 20일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0004775549188156638,0.0014464802314368371,0.006481481481481481,0.0,0.0,0.09035426502464204,0.10416626935876944,0.10416626935876944
epsis_power_trade_volume_monthly__trade_volume_anthracite_gwh,EPSIS 전력거래량 전력거래량(무연탄),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.10244193502105296,0.07241501127940797,0.10244193502105296
mkt_volume_std_20d,시장 거래량 로그값 20일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0009643201542912247,0.005555555555555556,0.0,0.0,0.10162122045822446,0.002587901980730269,0.10162122045822446
epsis_power_supply_daily__reserve_capacity_mw,EPSIS 전력수급 공급예비력(MW),power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.06745026955128415,0.1009613742199215,0.1009613742199215
mkt_volume_mean_20d,시장 거래량 로그값 20일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0009643201542912247,0.005555555555555556,0.0,0.0,0.06239963622329302,0.09972036086191675,0.09972036086191675
eua_daily__hpr,EUA 일별 가격 고가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.09875666457537627,0.09122628438486911,0.09875666457537627
mkt_daily_logret,시장 VWAP 일간 로그수익률,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.000925925925925926,0.0,0.0,0.09692193075206408,0.07670776348824047,0.09692193075206408
mkt_volume_std_60d,시장 거래량 로그값 60일 이동 표준편차,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.043877580372622765,0.09661292686602968,0.09661292686602968
epsis_fuel_cost_monthly__fuel_cost_oil_krw_per_kwh,EPSIS 발전연료비 발전연료비(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.07663549313115198,0.09536359923939887,0.09536359923939887
eua_daily__clsprc,EUA 일별 가격 종가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.09455441538466873,0.08517647058776057,0.09455441538466873
eua_daily__opr,EUA 일별 가격 시가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.094305733479068,0.08486360610539617,0.094305733479068
mkt_logret_mean_5d,시장 VWAP 로그수익률 5일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0,0.0,0.002777777777777778,0.0,0.0,0.09252353824257187,0.09330748867080849,0.09330748867080849
epsis_power_trade_volume_monthly__trade_volume_pumped_storage_gwh,EPSIS 전력거래량 전력거래량(양수),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.09301296017962214,0.014615025130756576,0.09301296017962214
epsis_power_trade_volume_monthly__trade_volume_ocean_gwh,EPSIS 전력거래량 전력거래량(해양),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.09228190361737852,0.05772417532908248,0.09228190361737852
eua_daily__lpr,EUA 일별 가격 저가,external_market,외부시장,raw.eua_daily,0.0,0.0,0.0,0.0,0.0,0.0896924212918552,0.07848953186918414,0.0896924212918552
epsis_power_trade_volume_monthly__trade_volume_bio_gwh,EPSIS 전력거래량 전력거래량(바이오),power_epsis,전력/EPSIS,raw.epsis_power_trade_volume_monthly,0.0,0.0,0.003703703703703704,0.0,0.0,0.06579679189953846,0.0859418379091475,0.0859418379091475
