feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
epsis_fuel_cost_monthly__fuel_price_bituminous_coal_krw_per_ton,EPSIS 발전연료비 연료가격(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__fuel_price_lng_krw_per_ton,EPSIS 발전연료비 연료가격(LNG),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__fuel_price_nuclear_krw_per_kwh,EPSIS 발전연료비 연료가격(원자력),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.06531954887218046,True
epsis_fuel_cost_monthly__fuel_price_oil_krw_per_kl,EPSIS 발전연료비 연료가격(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__heat_price_anthracite_krw_per_gcal,EPSIS 발전연료비 열량단가(무연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__heat_price_bituminous_coal_krw_per_gcal,EPSIS 발전연료비 열량단가(유연탄),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__heat_price_lng_krw_per_gcal,EPSIS 발전연료비 열량단가(LNG),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__heat_price_nuclear_krw_per_gcal,EPSIS 발전연료비 열량단가(원자력),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_fuel_cost_monthly__heat_price_oil_krw_per_gcal,EPSIS 발전연료비 열량단가(유류),power_epsis,전력/EPSIS,raw.epsis_fuel_cost_monthly,0.001876172607879925,0.0,0.0,0.003703703703703704,0.0,0.0,0.025845864661654134,True
epsis_power_supply_daily__day,EPSIS 전력수급 일자 보조값,power_epsis,전력/EPSIS,raw.epsis_power_supply_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.052063789868667915,True
